"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"OSV-2025-74","https://osv.dev/OSV-2025-74","libxml2","2.13.6","","0","1","0","1","2025A0000000074"
"CVE-2024-55549","https://nvd.nist.gov/vuln/detail/CVE-2024-55549","libxslt","1.1.42","7.8","1","0","0","1","2024A0000055549"
"CVE-2024-53427","https://nvd.nist.gov/vuln/detail/CVE-2024-53427","jq","1.7.1","","0","1","0","1","2024A0000053427"
"CVE-2024-50613","https://nvd.nist.gov/vuln/detail/CVE-2024-50613","libsndfile","1.2.2","6.5","0","0","1","1","2024A0000050613"
"CVE-2024-50612","https://nvd.nist.gov/vuln/detail/CVE-2024-50612","libsndfile","1.2.2","5.5","0","0","1","1","2024A0000050612"
"CVE-2024-49395","https://nvd.nist.gov/vuln/detail/CVE-2024-49395","neomutt","20250113","5.3","1","0","0","1","2024A0000049395"
"CVE-2024-49394","https://nvd.nist.gov/vuln/detail/CVE-2024-49394","neomutt","20250113","5.3","1","0","0","1","2024A0000049394"
"CVE-2024-49393","https://nvd.nist.gov/vuln/detail/CVE-2024-49393","neomutt","20250113","5.9","1","0","0","1","2024A0000049393"
"CVE-2024-25004","https://nvd.nist.gov/vuln/detail/CVE-2024-25004","kitty","0.41.1","7.8","0","0","1","1","2024A0000025004"
"CVE-2024-25003","https://nvd.nist.gov/vuln/detail/CVE-2024-25003","kitty","0.41.1","7.8","0","0","1","1","2024A0000025003"
"CVE-2024-23749","https://nvd.nist.gov/vuln/detail/CVE-2024-23749","kitty","0.41.1","7.8","0","0","1","1","2024A0000023749"
"CVE-2024-23739","https://nvd.nist.gov/vuln/detail/CVE-2024-23739","discord","0.0.89","9.8","1","0","1","2","2024A0000023739"
"CVE-2024-21485","https://nvd.nist.gov/vuln/detail/CVE-2024-21485","dash","0.5.12","5.4","0","0","1","1","2024A0000021485"
"CVE-2024-10041","https://nvd.nist.gov/vuln/detail/CVE-2024-10041","linux-pam","1.6.1","4.7","1","0","0","1","2024A0000010041"
"OSV-2024-1312","https://osv.dev/OSV-2024-1312","jq","1.7.1","","0","1","0","1","2024A0000001312"
"OSV-2024-1209","https://osv.dev/OSV-2024-1209","libxml2","2.13.6","","0","1","0","1","2024A0000001209"
"CVE-2024-1013","https://nvd.nist.gov/vuln/detail/CVE-2024-1013","unixODBC","2.3.12","7.8","1","0","0","1","2024A0000001013"
"OSV-2024-919","https://osv.dev/OSV-2024-919","jq","1.7.1","","0","1","0","1","2024A0000000919"
"OSV-2024-914","https://osv.dev/OSV-2024-914","boost","1.87.0","","0","1","0","1","2024A0000000914"
"OSV-2024-831","https://osv.dev/OSV-2024-831","jq","1.7.1","","0","1","0","1","2024A0000000831"
"OSV-2024-817","https://osv.dev/OSV-2024-817","libpcap","1.10.5","","0","1","0","1","2024A0000000817"
"OSV-2024-678","https://osv.dev/OSV-2024-678","flac","1.5.0","","0","1","0","1","2024A0000000678"
"OSV-2024-440","https://osv.dev/OSV-2024-440","jq","1.7.1","","0","1","0","1","2024A0000000440"
"RUSTSEC-2024-0422","https://osv.dev/RUSTSEC-2024-0422","gtk-layer-shell","0.9.1","","0","1","0","1","2024A0000000422"
"OSV-2024-396","https://osv.dev/OSV-2024-396","jq","1.7.1","","0","1","0","1","2024A0000000396"
"OSV-2024-395","https://osv.dev/OSV-2024-395","libpcap","1.10.5","","0","1","0","1","2024A0000000395"
"OSV-2024-371","https://osv.dev/OSV-2024-371","jq","1.7.1","","0","1","0","1","2024A0000000371"
"OSV-2024-340","https://osv.dev/OSV-2024-340","exiv2","0.28.5","","0","1","0","1","2024A0000000340"
"OSV-2024-330","https://osv.dev/OSV-2024-330","jq","1.7.1","","0","1","0","1","2024A0000000330"
"BIT-sqlite-2024-0232","https://osv.dev/BIT-sqlite-2024-0232","sqlite","3.48.0","","0","1","0","1","2024A0000000232"
"BIT-sqlite-2024-0232","https://osv.dev/BIT-sqlite-2024-0232","sqlite","3.46.1","","0","1","0","1","2024A0000000232"
"OSV-2024-112","https://osv.dev/OSV-2024-112","boost","1.87.0","","0","1","0","1","2024A0000000112"
"GHSA-72fg-jqhx-c68p","https://osv.dev/GHSA-72fg-jqhx-c68p","st","0.9.2","","0","1","0","1","2023A1694390400"
"GHSA-6898-wx94-8jq8","https://osv.dev/GHSA-6898-wx94-8jq8","libnotify","0.8.4","","0","1","0","1","2023A1694131200"
"CVE-2023-52356","https://nvd.nist.gov/vuln/detail/CVE-2023-52356","libtiff","4.7.0","7.5","1","0","0","1","2023A0000052356"
"CVE-2023-48795","https://nvd.nist.gov/vuln/detail/CVE-2023-48795","kitty","0.41.1","5.9","0","0","1","1","2023A0000048795"
